date,time,70m_v_avg,70m_v_SD,70m_v_max,70m_v_min,60m_v_avg,60m_v_SD,60m_v_max,60m_v_min,40m_v_avg,40m_v_SD,40m_v_max,40m_v_min,10m_v_avg,10m_v_SD,10m_v_max,10m_v_min,70m_deg_avg,70m_deg_SD,70m_deg_max,70m_deg_min,40m_deg_avg,40m_deg_SD,40m_deg_max,40m_deg_min,10m_deg_avg,10m_deg_SD,10m_deg_max,10m_deg_min,7m_temp_avg,7m_temp_SD,7m_temp_max,7m_temp_min,7m_p_avg,7m_p_SD,7m_p_max,7m_p_min
2016/1/1,0:00:00,8.9,0.3,9.8,7.9,8.4,0.3,9.4,7.5,7.2,0.3,7.9,6.4,5.8,0.3,6.4,4.9,218,3,0,0,223,2,0,0,199,3,0,0,-5.2,0,-5.1,-5.4,84.4,0,84.4,84.4
2016/1/1,0:10:00,8.7,0.3,9.8,7.9,8.2,0.3,9,7.5,7.4,0.3,8.3,6.4,5.5,0.3,6,4.9,221,3,0,0,226,3,0,0,198,2,0,0,-5.4,0,-5.1,-5.4,84.4,0,84.4,84.4
2016/1/1,0:20:00,8.9,0.4,9.8,7.9,8.4,0.4,9.4,7.2,7.5,0.4,8.7,6.4,6,0.3,6.8,5.3,222,3,0,0,227,4,0,0,196,2,0,0,-5.4,0.1,-5.1,-5.6,84.4,0,84.4,84.4
2016/1/1,0:30:00,8.9,0.4,9.8,7.5,8.4,0.4,9.4,7.2,7.2,0.5,8.3,6,5.7,0.5,7.2,4.9,225,3,0,0,231,5,0,0,201,2,0,0,-5.4,0.1,-5.1,-5.6,84.4,0,84.4,84.4
2016/1/1,0:40:00,8.3,0.3,9.1,7.5,7.9,0.3,8.7,6.8,6.7,0.5,7.9,5.3,5.2,0.4,6.4,3.8,225,2,0,0,231,5,0,0,198,3,0,0,-5.4,0.1,-5.1,-5.6,84.4,0,84.4,84.4
2016/1/1,0:50:00,7.8,0.5,8.7,6,7.3,0.8,8.3,4.9,6,0.6,7.6,4.1,4.8,0.6,6,3.8,224,3,0,0,225,6,0,0,197,3,0,0,-5.5,0.1,-5.1,-5.6,84.4,0,84.4,84.4
2016/1/1,1:00:00,6.9,0.3,7.5,6,6.3,0.4,7.5,4.9,5.3,0.4,6.4,4.1,4.3,0.3,5.3,3.8,225,3,0,0,227,6,0,0,193,3,0,0,-5.4,0.1,-5.1,-5.6,84.4,0,84.4,84.4
2016/1/1,1:10:00,6.2,0.6,7.5,4.2,5.6,0.6,7.2,4.1,4.8,0.5,6.4,3.4,3.7,0.4,5.7,2.6,222,6,0,0,222,8,0,0,188,7,0,0,-5.4,0.1,-5.4,-5.6,84.4,0,84.4,84.4
2016/1/1,1:20:00,5.3,0.4,6.8,3.8,4.8,0.4,6.4,3.8,4.4,0.3,5.3,3.8,3.4,0.3,4.2,2.6,206,8,0,0,205,6,0,0,168,6,0,0,-5.6,0,-5.6,-5.6,84.4,0,84.4,84.4
